ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;27;Alagoas;Federal;Total;Interior;0;;
2021;27;Alagoas;Federal;Urbana;Total;0;;
2021;27;Alagoas;Federal;Urbana;Interior;0;;
2021;27;Alagoas;Estadual;Total;Total;18,2;692,39;732,08
2021;27;Alagoas;Estadual;Total;Capital;17,11;690,52;733,87
2021;27;Alagoas;Estadual;Total;Interior;23,13;700,79;724,05
2021;27;Alagoas;Estadual;Urbana;Total;18,58;692,17;733,67
2021;27;Alagoas;Estadual;Urbana;Capital;17,11;690,52;733,87
2021;27;Alagoas;Estadual;Urbana;Interior;31,48;706,56;731,89
2021;27;Alagoas;Estadual;Rural;Total;14,29;694,69;715,74
2021;27;Alagoas;Estadual;Rural;Interior;14,29;694,69;715,74
2021;27;Alagoas;Municipal;Total;Total;30,62;703,44;734,97
2021;27;Alagoas;Municipal;Total;Capital;27,73;688,22;708,34
2021;27;Alagoas;Municipal;Total;Interior;31,18;706,38;740,12
2021;27;Alagoas;Municipal;Urbana;Total;32,88;706,2;739,2
2021;27;Alagoas;Municipal;Urbana;Capital;27,8;688,1;708
2021;27;Alagoas;Municipal;Urbana;Interior;34,33;711,38;748,12
2021;27;Alagoas;Municipal;Rural;Total;24,67;696,16;723,82
2021;27;Alagoas;Municipal;Rural;Capital;14,29;711,37;776,3
2021;27;Alagoas;Municipal;Rural;Interior;24,7;696,11;723,66
2021;27;Alagoas;Privada;Total;Total;68,51;756,31;762,8
2021;27;Alagoas;Privada;Total;Capital;64,37;751,66;766,09
2021;27;Alagoas;Privada;Total;Interior;73,26;761,64;759,02
2021;27;Alagoas;Privada;Urbana;Total;68,58;756,4;762,85
2021;27;Alagoas;Privada;Urbana;Capital;64,37;751,66;766,09
2021;27;Alagoas;Privada;Urbana;Interior;73,47;761,91;759,08
2021;27;Alagoas;Privada;Rural;Total;58,33;743,12;755,12
2021;27;Alagoas;Privada;Rural;Interior;58,33;743,12;755,12
2021;27;Alagoas;Total - Estadual e Municipal;Total;Total;30,04;702,92;734,84
2021;27;Alagoas;Total - Estadual e Municipal;Total;Capital;25,63;688,67;713,4
2021;27;Alagoas;Total - Estadual e Municipal;Total;Interior;31,1;706,33;739,95
2021;27;Alagoas;Total - Estadual e Municipal;Urbana;Total;32,05;705,39;738,88
2021;27;Alagoas;Total - Estadual e Municipal;Urbana;Capital;25,68;688,58;713,14
2021;27;Alagoas;Total - Estadual e Municipal;Urbana;Interior;34,31;711,34;747,99
2021;27;Alagoas;Total - Estadual e Municipal;Rural;Total;24,51;696,14;723,69
2021;27;Alagoas;Total - Estadual e Municipal;Rural;Capital;14,29;711,37;776,3
2021;27;Alagoas;Total - Estadual e Municipal;Rural;Interior;24,54;696,09;723,54
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Total;Total;30,04;702,92;734,84
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Total;Capital;25,63;688,67;713,4
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Total;Interior;31,1;706,33;739,95
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Urbana;Total;32,05;705,39;738,88
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Urbana;Capital;25,68;688,58;713,14
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Urbana;Interior;34,31;711,34;747,99
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Rural;Total;24,51;696,14;723,69
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Rural;Capital;14,29;711,37;776,3
2021;27;Alagoas;Total - Federal, Estadual e Municipal;Rural;Interior;24,54;696,09;723,54
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Total;Total;23,52;694,34;720,92
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Total;Capital;25,44;701,62;735,32
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Total;Interior;20,92;684,47;701,42
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;25,06;697,51;721,33
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;27,06;704,7;736,1
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;22,17;687,11;699,95
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Rural;Total;14,59;675,95;718,59
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;13,98;679,78;729,77
2021;16;Amapá;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;15,16;672,36;708,14
2021;16;Amapá;Estadual;Total;Total;23,12;697,48;728,46
2021;16;Amapá;Estadual;Total;Capital;17,83;690,21;720,35
2021;16;Amapá;Estadual;Total;Interior;34,94;713,73;746,58
2021;16;Amapá;Estadual;Urbana;Total;21,49;695,82;718,87
2021;16;Amapá;Estadual;Urbana;Capital;18,18;690,27;713,23
2021;16;Amapá;Estadual;Urbana;Interior;30,57;711,07;734,39
2021;16;Amapá;Estadual;Rural;Total;28,99;703,46;762,94
2021;16;Amapá;Estadual;Rural;Capital;16,11;689,89;755,24
2021;16;Amapá;Estadual;Rural;Interior;44;719,26;771,91
2021;16;Amapá;Municipal;Total;Total;17,03;683,43;711,45
2021;16;Amapá;Municipal;Total;Capital;21,07;696,22;737,43
2021;16;Amapá;Municipal;Total;Interior;12,87;670,24;684,63
2021;16;Amapá;Municipal;Urbana;Total;18,89;687,43;714,78
2021;16;Amapá;Municipal;Urbana;Capital;22,28;699,59;741,19
2021;16;Amapá;Municipal;Urbana;Interior;15,25;674,39;686,48
2021;16;Amapá;Municipal;Rural;Total;5,56;658,7;690,79
2021;16;Amapá;Municipal;Rural;Capital;12,38;672,17;710,63
2021;16;Amapá;Municipal;Rural;Interior;0;647,72;674,63
2021;16;Amapá;Privada;Total;Total;72,51;765,4;768,53
2021;16;Amapá;Privada;Total;Capital;68,98;760,94;766,17
2021;16;Amapá;Privada;Total;Interior;82,21;777,64;775,02
2021;16;Amapá;Privada;Urbana;Total;72,51;765,4;768,53
2021;16;Amapá;Privada;Urbana;Capital;68,98;760,94;766,17
2021;16;Amapá;Privada;Urbana;Interior;82,21;777,64;775,02
2021;16;Amapá;Privada;Rural;Total;0;;
2021;16;Amapá;Privada;Rural;Interior;0;;
