ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
Brasil;Total - Estadual e Municipal;Total;Interior;208,11;221,75;253,52;255,7;270,86;268,38;4,58;9,62;13,64;16,54;17,74;16,06;11,82;6,42;3,07;0,51;1,29;5,33;11,7;16,84;18,67;17,48;13,64;8,79;4,32;1,88;0,06;15,81;13,23;16,73;18,69;16,85;11,64;5,48;1,53;0,04;14,23;12,86;17,26;19,2;17,73;11,42;4,91;1,8;0,6;0;20,18;13,98;17,27;18,12;15,6;10,05;4,02;0,76;0,02;21,33;14,62;17,82;18,58;14,08;8,4;3,64;1,17;0,31;0,07;0
Brasil;Total - Estadual e Municipal;Total;Total;209,04;222,38;253,7;255,34;271,08;267,76;4,31;9,22;13,39;16,58;17,99;16,41;12,03;6,49;3,07;0,51;1,21;5,01;11,32;16,78;18,99;17,85;13,88;8,82;4,27;1,82;0,06;15,81;13,06;16,66;18,68;16,98;11,73;5,5;1,53;0,04;14,22;12,97;17,39;19,34;17,75;11,27;4,78;1,72;0,57;0;20,2;13,8;17,11;18,11;15,72;10,2;4,07;0,76;0,02;21,62;14,72;17,91;18,57;13,92;8,23;3,54;1,12;0,3;0,07;0
Brasil;Total - Estadual e Municipal;Urbana;Capital;213,41;225,39;254,57;253,92;272,06;265,64;3,11;7,39;12,2;16,68;19,13;18;13,05;6,87;3,1;0,48;0,85;3,57;9,58;16,43;20,35;19,51;14,98;9,04;4,08;1,57;0,04;15,75;12,32;16,35;18,61;17,54;12,19;5,65;1,55;0,04;14,13;13,39;17,91;19,94;17,87;10,7;4,23;1,39;0,44;0;20,15;13,13;16,52;18,1;16,18;10,8;4,29;0,79;0,03;22,59;15,06;18,26;18,57;13,38;7,63;3,18;0,98;0,29;0,06;0
Brasil;Total - Estadual e Municipal;Urbana;Interior;211,8;225,27;255,84;257,87;272,12;269,61;3,73;8,33;12,76;16,42;18,27;16,95;12,69;6,95;3,35;0,55;1,03;4,38;10,44;16,14;18,9;18,28;14,55;9,49;4,7;2,02;0,07;14,69;12,58;16,44;18,91;17,49;12,32;5,87;1,65;0,05;13,05;12,34;17,04;19,45;18,4;12,01;5,19;1,9;0,62;0;19,39;13,7;17,23;18,36;15,99;10,36;4,16;0,79;0,02;20,48;14,43;17,86;18,85;14,4;8,64;3,75;1,2;0,32;0,07;0
Brasil;Total - Estadual e Municipal;Urbana;Total;212,14;225,3;255,57;257,02;272,11;268,72;3,6;8,13;12,65;16,47;18,45;17,17;12,76;6,94;3,29;0,54;0,99;4,22;10,26;16,2;19,2;18,54;14,64;9,4;4,57;1,93;0,06;14,91;12,53;16,42;18,84;17,5;12,29;5,83;1,63;0,05;13,28;12,56;17,23;19,56;18,29;11,73;4,98;1,79;0,58;0;19,56;13,57;17,07;18,3;16,04;10,46;4,19;0,79;0,02;20,95;14,57;17,95;18,79;14,17;8,41;3,62;1,15;0,31;0,07;0
Brasil;Total - Federal, Estadual e Municipal;Rural;Capital;201,99;214,47;243,77;246,01;247,29;242,97;4,06;10,25;15,85;19,76;18,49;15,3;9,69;4,48;1,85;0,26;1,29;5,41;13,3;20,62;20,53;16,91;11,62;6,35;2,93;1,01;0,03;18,79;16,57;19,39;18,25;15,13;8,28;2,79;0,77;0,04;18,41;16,15;19,18;18,5;13,96;8,46;3,5;1,18;0,66;0;35,53;18,05;17,96;14,15;8,63;4,28;1,11;0,29;0;38,05;19,16;17,33;13,9;6,85;3,2;1,2;0,32;0;0;0
Brasil;Total - Federal, Estadual e Municipal;Rural;Interior;187,76;202,37;238,18;241,33;250,39;248,52;9,28;16,76;18,5;17,19;14,77;11,15;7,01;3,48;1,57;0,3;2,72;10,53;18,65;20,68;17,43;13,07;8,66;4,89;2,25;1,09;0,04;23,27;17,49;18,64;17,28;12,61;7,12;2,84;0,73;0,02;22,02;16,34;18,68;17,49;13,28;7,47;3,12;1,19;0,42;0;32,97;18,57;17,98;14,2;9,23;5,01;1,76;0,29;0;35,12;17,71;17,08;14,05;8,83;4,55;1,91;0,59;0,12;0,03;0
Brasil;Total - Federal, Estadual e Municipal;Rural;Total;188,23;202,77;238,33;241,45;250,28;248,32;9,11;16,54;18,41;17,27;14,89;11,29;7,1;3,51;1,58;0,29;2,67;10,36;18,47;20,68;17,53;13,2;8,76;4,94;2,27;1,09;0,04;23,16;17,47;18,66;17,3;12,67;7,15;2,84;0,73;0,02;21,93;16,34;18,69;17,52;13,3;7,49;3,13;1,19;0,42;0;33,06;18,56;17,98;14,19;9,21;4,98;1,73;0,29;0;35,22;17,76;17,09;14,05;8,76;4,5;1,89;0,58;0,12;0,03;0
Brasil;Total - Federal, Estadual e Municipal;Total;Capital;213,24;225,24;254,9;254,48;272,59;266,51;3,12;7,43;12,26;16,74;19,1;17,95;13;6,84;3,08;0,48;0,86;3,6;9,64;16,49;20,32;19,46;14,93;9;4,08;1,57;0,04;15,68;12,29;16,28;18,53;17,5;12,24;5,79;1,66;0,05;14,07;13,31;17,79;19,81;17,77;10,75;4,37;1,54;0,58;0;20,07;13,03;16,38;17,96;16,11;10,97;4,52;0,93;0,03;22,47;14,94;18,09;18,39;13,3;7,71;3,35;1,16;0,44;0,16;0
Brasil;Total - Federal, Estadual e Municipal;Total;Interior;208,11;221,76;253,54;255,72;270,94;268,49;4,58;9,62;13,64;16,53;17,74;16,06;11,82;6,42;3,07;0,51;1,29;5,33;11,7;16,84;18,67;17,48;13,64;8,79;4,32;1,88;0,06;15,81;13,22;16,73;18,69;16,85;11,64;5,48;1,54;0,04;14,22;12,86;17,25;19,19;17,73;11,42;4,92;1,81;0,6;0;20,16;13,96;17,26;18,11;15,6;10,06;4,05;0,77;0,02;21,3;14,6;17,8;18,56;14,08;8,41;3,66;1,18;0,32;0,08;0
Brasil;Total - Federal, Estadual e Municipal;Total;Total;209,06;222,41;253,81;255,48;271,3;268,06;4,31;9,22;13,39;16,57;17,99;16,41;12,04;6,5;3,07;0,51;1,21;5,01;11,32;16,77;18,98;17,85;13,88;8,83;4,28;1,82;0,06;15,78;13,04;16,64;18,66;16,98;11,76;5,54;1,56;0,04;14,19;12,95;17,36;19,31;17,74;11,29;4,81;1,75;0,59;0;20,14;13,76;17,07;18,08;15,71;10,26;4,15;0,81;0,02;21,55;14,67;17,86;18,53;13,91;8,26;3,59;1,18;0,35;0,1;0
Brasil;Total - Federal, Estadual e Municipal;Urbana;Capital;213,5;225,49;255,06;254,6;272,78;266,69;3,1;7,37;12,18;16,67;19,12;18,01;13,07;6,89;3,11;0,48;0,85;3,56;9,56;16,4;20,32;19,52;15,01;9,07;4,11;1,58;0,04;15,63;12,23;16,24;18,53;17,53;12,29;5,83;1,67;0,05;14,01;13,27;17,77;19,82;17,83;10,79;4,39;1,55;0,57;0;19,95;13;16,37;17,99;16,16;11,02;4,55;0,93;0,03;22,35;14,9;18,09;18,43;13,35;7,74;3,37;1,17;0,44;0,16;0
Brasil;Total - Federal, Estadual e Municipal;Urbana;Interior;211,81;225,28;255,86;257,89;272,19;269,71;3,73;8,33;12,76;16,42;18,27;16,95;12,69;6,96;3,35;0,55;1,03;4,38;10,44;16,14;18,9;18,28;14,55;9,5;4,7;2,02;0,07;14,68;12,58;16,44;18,9;17,49;12,32;5,88;1,66;0,05;13,05;12,33;17,04;19,45;18,4;12,02;5,19;1,9;0,63;0;19,37;13,68;17,21;18,35;15,99;10,37;4,19;0,8;0,02;20,46;14,41;17,85;18,84;14,4;8,65;3,77;1,22;0,34;0,08;0
Brasil;Total - Federal, Estadual e Municipal;Urbana;Total;212,16;225,32;255,68;257,18;272,33;269,03;3,6;8,13;12,64;16,47;18,45;17,17;12,77;6,94;3,3;0,54;0,99;4,21;10,25;16,19;19,2;18,54;14,64;9,41;4,58;1,93;0,06;14,89;12,5;16,39;18,82;17,5;12,32;5,87;1,66;0,05;13,25;12,53;17,2;19,53;18,28;11,75;5,02;1,82;0,62;0;19,51;13,53;17,02;18,27;16,03;10,52;4,27;0,83;0,03;20,88;14,52;17,9;18,74;14,16;8,44;3,68;1,21;0,36;0,1;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;202,49;214,71;245,63;247,69;248,48;244,14;4,04;10;15,82;19,51;18,63;15,49;9,81;4,6;1,83;0,27;1,25;5,32;13,23;20,7;20,36;16,92;11,79;6,45;2,96;0,98;0,03;18;15,97;19,03;18,3;15,88;8,73;3,19;0,87;0,03;17,67;15,61;18,88;18,54;14,49;9,18;3,67;1,33;0,63;0;34,9;17,8;17,75;14,22;9,17;4,57;1,27;0,32;0;37,41;18,85;17,27;14,05;7,24;3,36;1,43;0,38;0;0;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;188,15;202,71;238,56;241,76;251,31;249,8;9,19;16,61;18,42;17,18;14,86;11,2;7,1;3,54;1,6;0,3;2,69;10,43;18,51;20,6;17,48;13,16;8,78;4,95;2,27;1,09;0,04;23,12;17,4;18,58;17,28;12,69;7,22;2,9;0,78;0,03;21,83;16,25;18,62;17,49;13,36;7,56;3,21;1,24;0,43;0;32,57;18,3;17,82;14,24;9,41;5,34;1,99;0,32;0,01;34,61;17,46;16,92;14,01;9,07;4,86;2,13;0,73;0,17;0,05;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Total;188,63;203,11;238,74;241,92;251,22;249,61;9,02;16,39;18,33;17,26;14,99;11,35;7,19;3,58;1,61;0,29;2,64;10,26;18,34;20,6;17,57;13,29;8,88;5;2,3;1,08;0,04;22,99;17,36;18,59;17,31;12,78;7,26;2,9;0,78;0,03;21,72;16,24;18,63;17,52;13,39;7,6;3,22;1,24;0,44;0;32,65;18,28;17,81;14,24;9,4;5,32;1,97;0,32;0,01;34,71;17,51;16,93;14,01;9;4,81;2,11;0,72;0,16;0,05;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Capital;221,67;233,5;264,65;266,54;283,85;282,13;2,4;5,94;10,03;14,72;18,37;18,86;15,21;8,99;4,67;0,8;0,7;2,8;7,69;14,12;18,56;19,32;16,8;11,44;5,84;2,6;0,14;12,92;10,25;14,03;17,12;18,11;15,38;8,75;3,33;0,13;11,29;10,77;15,21;18,14;17,73;13,49;7,66;3,95;1,77;0;16,59;10,76;14,11;16,28;16,79;14,55;8,48;2,36;0,08;18,28;12,29;15,26;16,69;13,72;10,33;6,42;3,7;2,29;1,02;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Interior;212,68;226,31;258,81;261,98;276,56;275,77;4,06;8,51;12,4;15,58;17,69;16,89;13,14;7,46;3,65;0,62;1,14;4,69;10,42;15,5;18,03;17,96;14,62;10,06;5,23;2,28;0,07;14,35;12,02;15,51;18;17,24;13,22;7,25;2,32;0,09;12,76;11,63;15,93;18,19;17,81;12,72;6,66;3,07;1,24;0;18,38;12,78;16,05;17,43;16,03;11,88;5,91;1,45;0,07;19,36;13,34;16,52;17,64;14,25;9,67;5,34;2,48;1,02;0,38;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Total;214,64;227,88;260,13;263,02;278,36;277,34;3,69;7,95;11,88;15,39;17,84;17,32;13,59;7,79;3,87;0,66;1,04;4,28;9,83;15,2;18,15;18,26;15,09;10,36;5,36;2,35;0,09;14,02;11,62;15,17;17,8;17,44;13,71;7,59;2,55;0,1;12,43;11,43;15,77;18,17;17,79;12,89;6,89;3,27;1,36;0;17,94;12,28;15,58;17,15;16,22;12,54;6,55;1,68;0,07;19,09;13,08;16,21;17,41;14,12;9,83;5,61;2,78;1,33;0,54;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;221,99;233,82;264,86;266,75;284,06;282,35;2,37;5,87;9,94;14,64;18,37;18,92;15,3;9,06;4,72;0,81;0,69;2,76;7,59;14,01;18,53;19,36;16,88;11,53;5,88;2,62;0,14;12,86;10,19;13,97;17,11;18,13;15,45;8,81;3,35;0,13;11,22;10,71;15,17;18,13;17,77;13,54;7,7;3,98;1,78;0;16,49;10,72;14,09;16,29;16,83;14,61;8,52;2,37;0,08;18,17;12,25;15,25;16,71;13,76;10,37;6,45;3,72;2,3;1,02;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;216,46;229,95;261,46;264,63;277,97;277,22;3,27;7,27;11,47;15,34;18,13;17,77;14,07;8,06;3,97;0,66;0,9;3,8;9,18;14,72;18,12;18,7;15,52;10,85;5,68;2,46;0,08;13,19;11,32;15,1;18,1;17,84;14,01;7,82;2,53;0,1;11,57;11,02;15,58;18,28;18,39;13,4;7,11;3,31;1,35;0;17,59;12,47;15,96;17,61;16,4;12,25;6,13;1,51;0,07;18,51;13,11;16,5;17,84;14,54;9,94;5,52;2,58;1,07;0,4;0
Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;217,79;230,88;262,3;265,16;279,53;278,53;3,05;6,93;11,1;15,17;18,19;18,05;14,36;8,3;4,15;0,7;0,85;3,55;8,8;14,55;18,22;18,86;15,84;11,01;5,73;2,5;0,09;13,11;11,04;14,82;17,85;17,91;14,36;8,06;2,73;0,1;11,49;10,94;15,48;18,24;18,24;13,43;7,26;3,47;1,46;0;17,31;12,02;15,48;17,27;16,51;12,85;6,74;1,73;0,08;18,42;12,89;16,18;17,55;14,34;10,05;5,76;2,87;1,38;0,56;0
