ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
Brasil;Federal;Rural;Interior;248,29;239,18;282,25;299,33;324,02;330,32;0;0;0;11,11;11,11;33,33;22,22;5,56;16,67;0;0;0;0;11,11;33,33;27,78;16,67;5,56;0;5,56;0;0;0;21,43;21,43;28,57;14,29;14,29;0;0;0;7,14;0;7,14;28,57;35,71;21,43;0;0;0;2,71;3,49;5,65;13,78;19,85;24,89;22,61;6,52;0,51;1,41;5,43;7,88;12,31;19,79;15,67;16,11;14,47;5,3;1,64;0
Brasil;Federal;Rural;Total;248,29;239,18;282,25;299,33;324,02;330,32;0;0;0;11,11;11,11;33,33;22,22;5,56;16,67;0;0;0;0;11,11;33,33;27,78;16,67;5,56;0;5,56;0;0;0;21,43;21,43;28,57;14,29;14,29;0;0;0;7,14;0;7,14;28,57;35,71;21,43;0;0;0;2,71;3,49;5,65;13,78;19,85;24,89;22,61;6,52;0,51;1,41;5,43;7,88;12,31;19,79;15,67;16,11;14,47;5,3;1,64;0
Brasil;Federal;Total;Capital;242,81;259,57;304,79;323,46;334,78;357,08;0,54;1,28;3,93;10,18;15,95;23,23;22,3;14,03;7,26;1,3;0,08;0,4;1,7;5,7;10,41;21,35;24,81;18,82;12,33;3,98;0,41;3,39;2,83;4,82;10,65;17,4;22,93;24,1;13,36;0,53;1,67;1,44;3,6;8;13,37;19,46;20,75;17,78;13,92;0;3,18;1,51;3,18;8,35;14,36;29,59;26,44;12,86;0,55;1,69;1,65;3,38;6,05;11,16;17,06;19,98;17,18;13,34;8,52;0
Brasil;Federal;Total;Interior;250,28;266,53;304,84;322,06;335,55;353,82;0,49;1,52;3,54;6,32;10,04;26,15;22,77;17,57;10,04;1,55;0;0,56;0,49;4,9;9,89;20,05;21,99;20,31;12,16;9,65;0;3,29;2,27;6,12;10,03;18,2;24,17;20,93;14,38;0,61;1,32;1,69;3,36;6,04;14,18;25,94;21,87;12,77;12,82;0;2,54;2,27;4,82;7,63;16,26;22,32;29,13;14,04;0,99;2,14;2,39;3,96;7,55;12,69;16,74;15,92;14,46;15,09;9,05;0
Brasil;Federal;Total;Total;243,89;260,58;304,8;323,3;335;356,13;0,53;1,32;3,88;9,62;15,09;23,65;22,37;14,54;7,66;1,34;0,07;0,43;1,52;5,58;10,33;21,16;24,4;19,04;12,31;4,8;0,35;3,37;2,76;4,97;10,58;17,49;23,07;23,73;13,48;0,54;1,63;1,47;3,57;7,77;13,47;20,21;20,88;17,21;13,8;0;2,99;1,73;3,65;8,14;14,91;27,48;27,22;13,2;0,68;1,82;1,86;3,55;6,48;11,61;16,96;18,8;16,39;13,85;8,67;0
Brasil;Federal;Urbana;Capital;242,81;259,57;304,79;323,46;334,78;357,08;0,54;1,28;3,93;10,18;15,95;23,23;22,3;14,03;7,26;1,3;0,08;0,4;1,7;5,7;10,41;21,35;24,81;18,82;12,33;3,98;0,41;3,39;2,83;4,82;10,65;17,4;22,93;24,1;13,36;0,53;1,67;1,44;3,6;8;13,37;19,46;20,75;17,78;13,92;0;3,18;1,51;3,18;8,35;14,36;29,59;26,44;12,86;0,55;1,69;1,65;3,38;6,05;11,16;17,06;19,98;17,18;13,34;8,52;0
Brasil;Federal;Urbana;Interior;250,47;269,12;305,5;322,72;337,49;357,77;0,54;1,66;3,88;5,87;9,94;25,47;22,82;18,71;9,41;1,7;0;0,61;0,54;4,31;7,67;19,32;22,5;21,7;13,3;10,04;0;3,39;2,33;5,68;9,7;17,9;24,46;21,12;14,8;0,62;1,36;1,53;3,46;6,01;13,77;25,65;21,88;13,14;13,19;0;2,51;2,06;4,68;6,6;15,65;21,89;30,23;15,31;1,07;2,27;1,88;3,3;6,75;11,5;16,92;15,89;14,46;16,73;10,3;0
Brasil;Federal;Urbana;Total;243,84;260,85;304,87;323,38;335,48;357,26;0,54;1,33;3,93;9,6;15,14;23,53;22,37;14,66;7,55;1,35;0,07;0,43;1,54;5,51;10,04;21,08;24,5;19,21;12,46;4,79;0,36;3,39;2,77;4,92;10,54;17,45;23,1;23,76;13,53;0,54;1,63;1,45;3,59;7,78;13,42;20,16;20,88;17,26;13,84;0;3;1,65;3,57;7,89;14,7;27,59;27,43;13,49;0,68;1,84;1,71;3,36;6,23;11,25;17,02;18,92;16,48;14,22;8,98;0
Brasil;Municipal;Rural;Capital;201,06;214,22;248,15;251,51;;;4,01;10,7;16,46;19,89;18,24;14,75;9,33;4,32;2;0,3;1,04;5,82;13,09;21,64;20,55;15,93;11,33;6,36;2,99;1,2;0,05;16,55;15,3;19,19;18,24;16,96;9,44;3,37;0,88;0,08;17,04;15,45;17,62;17,5;13,66;10,32;5,24;2,02;1,17;0;;;;;;;;;;;;;;;;;;;;
Brasil;Municipal;Rural;Interior;187,45;202,13;237,03;240,05;245,83;249,03;9,33;16,89;18,6;17,21;14,68;11,07;6,92;3,44;1,56;0,3;2,71;10,58;18,78;20,78;17,39;12,98;8,57;4,85;2,24;1,09;0,04;23,86;17,9;18,82;17,03;12,21;6,79;2,67;0,7;0,03;22,68;16,74;18,84;17,34;12,79;7,05;2,97;1,17;0,43;0;36,2;20,53;17,72;11,21;9,35;3,71;0,98;0,31;0;35,98;17,24;15,22;12,82;10,53;5,39;2,4;0,42;0;0;0
